,precision,recall,f1-score,support
glioma,0.687041564792176,0.7025,0.6946847960444994,400.0
meningioma,0.95,0.0475,0.09047619047619047,400.0
notumor,0.8109243697478992,0.965,0.8812785388127854,400.0
pituitary,0.5741007194244604,0.9975,0.7287671232876712,400.0
accuracy,0.678125,0.678125,0.678125,0.678125
macro avg,0.755516663491134,0.678125,0.5988016621552866,1600.0
weighted avg,0.7555166634911339,0.678125,0.5988016621552866,1600.0
